Application_Number,Parish,Description,Address,Occupancy_Type,Application_Type,FY,ISSUEDATE,District,Dwellings
16900212 4528,Edale,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Holiday,COU,2008/09,07/09/2004,HPBC,2
16730424 1354,Bradfield,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Holiday,COU,2006/07,11/01/2006,SCC,2
16280212 5662,Rainow,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Holiday,COU,2008/09,31/01/2006,MBC,2
16451213 5981,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Holiday,COU,2008/09,29/03/2004,SMDC,3
16800617 9322,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Holiday,COU,2008/09,04/08/2003,DDDC,3
16411104 0921,Gratton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Holiday,COU,2010/11,05/10/2005,DDDC,3
16460803 2563,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Holiday,COU,2005/06,21/01/2004,DDDC,3
16780423 3448,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Holiday,COU,2007/08,30/01/2006,DDDC,4
16401229 2787,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Holiday,COU,2005/06,08/06/2004,MBC,1
16791008 2648,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Holiday,COU,2008/09,20/03/2000,HPBC,1
16310816 1765,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Holiday,COU,2002/03,06/03/2001,DDDC,1
16180117 2618,Butterton,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Holiday,COU,2004/05,15/04/2002,SMDC,1
16200711 2358,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Holiday,COU,2006/07,09/08/2005,DDDC,1
16650306 5184,Outseats,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Holiday,COU,1999/00,09/04/1998,DDDC,1
16460622 8189,South Darley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Holiday,COU,2004/05,12/04/2000,DDDC,1
16720501 6269,Hollinsclough,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Holiday,COU,2004/05,12/06/2002,SMDC,1
16220124 7513,Fawfieldhead,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Holiday,COU,1994/95,10/08/1989,SMDC,1
16500503 7667,Youlgreave,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Holiday,COU,1994/95,30/04/1992,DDDC,1
16180517 4156,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Holiday,COU,1995/96,22/06/1993,SMDC,1
16760304 3873,Hayfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Holiday,COU,2002/03,11/06/1997,HPBC,1
16710620 3065,Thornhill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Holiday,COU,2003/04,15/04/1999,HPBC,1
16821018 8119,Bamford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Holiday,COU,2004/05,08/06/2000,HPBC,1
16790703 2408,Stocksbridge,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Holiday,COU,2008/09,08/05/2007,SCC,1
16250114 7488,Chinley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Holiday,COU,2008/09,06/07/2007,HPBC,1
16071012 4843,Monyash,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Holiday,COU,1992/93,22/05/1992,DDDC,1
16900920 2244,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Holiday,COU,1995/96,14/06/1995,DDDC,1
16120130 4563,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Holiday,COU,2003/04,27/01/1998,MBC,1
16190327 9824,Thornhill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Holiday,COU,2000/01,03/08/1999,HPBC,1
16111123 9404,Chinley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Holiday,COU,2004/05,05/06/2000,HPBC,1
16441212 1289,Blore With Swinscoe,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Holiday,COU,1999/00,08/09/1998,SMDC,1
16291006 3706,Lyme H&ley,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Holiday,COU,2004/05,21/07/2000,MBC,1
16530103 5704,Tissington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Holiday,COU,2004/05,01/08/2000,DDDC,1
16910803 7210,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Holiday,COU,1992/93,07/12/1988,DDDC,1
16250524 6229,Little Longstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Holiday,COU,2001/02,02/07/1997,DDDC,1
16580210 8844,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Holiday,COU,2000/01,27/08/1998,DDDC,1
16720130 0980,Castleton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Holiday,COU,2004/05,31/07/2000,HPBC,1
16640330 9559,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Holiday,COU,2004/05,08/08/2000,HPBC,1
16930715 8775,Grindon,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Holiday,COU,2006/07,05/02/2002,SMDC,1
16311207 6645,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Holiday,COU,1996/97,31/07/1995,DDDC,1
16271014 4326,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Holiday,COU,1999/00,04/09/1998,SCC,1
16801106 4246,Taddington,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Holiday,COU,2005/06,24/08/1999,DDDC,1
16251227 2184,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Holiday,COU,2005/06,17/09/2002,SMDC,1
16180116 7121,Harthill,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Holiday,COU,2005/06,08/09/2003,DDDC,1
16771119 6951,Elton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Holiday,COU,1999/00,04/09/1995,DDDC,1
16461029 4599,Heathylee,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Holiday,COU,2002/03,25/09/1996,SMDC,1
16170307 8228,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Holiday,COU,2004/05,29/09/2000,SCC,1
16361022 1099,Wincle,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Holiday,COU,2007/08,04/10/2002,MBC,1
16120813 9954,Ible,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",332 Et Av.,Holiday,COU,2003/04,19/10/1995,DDDC,1
16770914 9301,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",496-5836 Odio St.,Holiday,COU,2004/05,14/04/2000,SCC,1
16550214 5476,Quarnford,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #724-4824 Bibendum. Rd.,Holiday,COU,2004/05,25/11/2002,SMDC,1
16060827 3405,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 821, 4621 Mi Road",Holiday,COU,2008/09,07/02/2007,SCC,1
16691111 9003,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9950 Neque. Street,Holiday,COU,2008/09,22/12/2006,MBC,1
16560105 0684,Eyam,"Lorem ipsum dolor sit amet, consectetuer adipiscing","1971 Imperdiet, Ave",Holiday,COU,2010/11,05/12/2007,DDDC,1
16490808 8596,Onecote,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 517, 8193 Scelerisque St.",Holiday,COU,2009/10,08/12/2008,SMDC,1
16241104 5665,Parwich,"Lorem ipsum dolor sit amet, consectetuer adipiscing",9942 Libero Av.,Holiday,COU,2010/11,18/12/2008,DDDC,1
16730127 4267,Over Haddon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #823-1627 Pellentesque. St.,Holiday,COU,1991/92,20/12/1990,DDDC,1
16100305 3186,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 625, 7679 Sed Avenue",Holiday,COU,1994/95,29/01/1993,SCC,1
16400919 8336,Great Hucklow,"Lorem ipsum dolor sit amet, consectetuer",7008 Lorem Road,Holiday,COU,1997/98,27/11/1992,DDDC,1
16180817 3015,Heathylee,"Lorem ipsum dolor sit amet, consectetuer adipiscing","7130 Pede, Rd.",Holiday,COU,1999/00,25/02/1997,SMDC,1
16060724 5545,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer",Ap #929-852 Sit Rd.,Holiday,COU,1999/00,21/11/1996,DDDC,1
16140804 3568,Aldwark,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 101, 8156 Curabitur Av.",Holiday,COU,1998/99,17/01/1997,DDDC,1
16421103 1937,Hartington Upper Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","484-7318 Ut, Rd.",Holiday,COU,2002/03,26/11/1999,HPBC,1
16550324 0458,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #966-897 Imperdiet St.,Holiday,COU,2004/05,27/12/2001,DDDC,1
16731016 3857,Monyash,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",9398 Molestie St.,Holiday,COU,2005/06,19/12/2002,DDDC,1
16960311 1700,Chelmorton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 669, 2499 Et Av.",Holiday,COU,2005/06,15/12/2005,DDDC,1
16760619 6140,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing",2250 Tincidunt. Street,Holiday,COU,2008/09,03/04/2006,HPBC,1
16220821 1041,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",149 Nisl St.,Holiday,COU,2005/06,12/06/1995,DDDC,1
16921121 7501,Edale,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7037 Libero Avenue,Holiday,COU,1997/98,21/05/1996,HPBC,1
16880616 4771,Wetton,"Lorem ipsum dolor sit amet, consectetuer","2282 Lorem, Road",Holiday,COU,1999/00,14/03/1997,SMDC,1
16100706 1979,Bonsall,"Lorem ipsum dolor sit amet, consectetuer",Ap #203-9949 Massa. Rd.,Holiday,COU,2008/09,03/03/1997,DDDC,1
16300808 0016,Wildboarclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","972-1011 Amet, Av.",Holiday,COU,2010/11,18/03/2008,MBC,1
16771115 6021,Sheldon,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 221, 9875 Aliquam Road",Holiday,COU,1999/00,01/02/1999,DDDC,1
16081115 6488,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer",390-6517 Id Road,Holiday,COU,1991/92,03/05/1988,DDDC,1
16980115 0815,Grindlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",404 Molestie Road,Holiday,COU,2004/05,27/07/2000,DDDC,1
16321126 1551,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 424, 2373 Massa. Street",Holiday,COU,1992/93,05/04/1990,DDDC,1
16030428 2304,Gratton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #701-3329 Nec St.,Holiday,COU,1992/93,29/08/1990,DDDC,1
16200226 9476,Edale,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5088 Morbi Av.,Holiday,COU,1991/92,12/02/1988,HPBC,2
16320126 0282,Brushfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 879, 9033 Nunc Avenue",Holiday,COU,1996/97,26/06/1996,DDDC,2
16110220 8921,Hope,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 364, 6405 Tempus Avenue",Holiday,COU,2004/05,18/06/2003,HPBC,2
16751013 0979,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer",5633 Risus Ave,Holiday,COU,1993/94,05/04/1990,SMDC,1
16671129 0657,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer",Ap #241-6084 Pellentesque St.,Holiday,COU,2001/02,05/04/1990,SMDC,1
16190225 0107,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #687-3199 Magna Road,Holiday,COU,1992/93,24/08/1990,DDDC,2
16091015 8013,Hayfield,"Lorem ipsum dolor sit amet, consectetuer",573-871 Metus. Street,Holiday,COU,1999/00,14/12/1998,HPBC,2
16560112 4919,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",363-284 Luctus Street,Holiday,COU,1991/92,26/08/1988,SCC,2
16380207 3787,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #514-7959 Morbi St.,Holiday,COU,2001/02,09/11/1998,SMDC,2
16011120 5506,Grindon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #156-5307 Quam Ave,Holiday,COU,1992/93,18/08/1992,SMDC,2
16120128 3437,Brushfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 528, 6354 Mauris Rd.",Holiday,COU,1999/00,02/07/1998,DDDC,2
16010815 9542,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing","880-8190 Quis, St.",Holiday,COU,1993/94,11/01/1991,DDDC,2
16440708 5325,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",523-3439 Ut Rd.,Holiday,COU,1999/00,14/08/1998,SCC,2
16210102 9045,Hollinsclough,"Lorem ipsum dolor sit amet, consectetuer","145-9430 Et, Road",Holiday,COU,2005/06,25/08/1999,SMDC,2
16710922 0314,Rainow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",471-3437 Lacus. Rd.,Holiday,COU,2006/07,30/09/2002,MBC,1
16030519 3419,Rainow,"Lorem ipsum dolor sit amet, consectetuer",Ap #266-2983 Tempor Road,Holiday,COU,2008/09,30/09/2002,MBC,1
16900606 9745,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing",6428 Ac Road,Holiday,COU,2002/03,22/10/1998,DDDC,2
16600516 2703,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed","P.O. Box 174, 6926 Euismod Rd.",Holiday,COU,2004/05,10/10/1995,SMDC,1
16840612 6493,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",694-8523 Velit. Rd.,Holiday,COU,2006/07,10/10/1995,SMDC,1
16110818 7970,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #694-1825 Nulla Street,Holiday,COU,1999/00,03/11/1998,SMDC,2
16240602 1572,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing","5356 Facilisis, Street",Holiday,COU,2000/01,05/12/1995,SMDC,2
16350922 6472,Alstonefield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",4375 Magnis Road,Holiday,COU,2002/03,21/12/2001,SMDC,2
16690420 1008,Heathylee,"Lorem ipsum dolor sit amet, consectetuer",753-7093 Elit Avenue,Holiday,COU,1992/93,24/12/1986,SMDC,2
16921122 4754,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer",2393 Dapibus Ave,Holiday,COU,2001/02,05/02/2002,DDDC,2
16900212 4528,Flagg,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.","P.O. Box 842, 4874 Pellentesque, Street",Holiday,COU,2008/09,03/07/2006,DDDC,2
16730424 1354,Blackwell,"Lorem ipsum dolor sit amet, consectetuer",155-858 At St.,Holiday,COU,2006/07,27/01/2003,DDDC,2
16280212 5662,Castleton,"Lorem ipsum dolor sit amet, consectetuer",Ap #317-8448 Eu Road,Holiday,COU,2008/09,28/01/2004,HPBC,2
16451213 5981,Heathylee,"Lorem ipsum dolor sit amet, consectetuer",845-8784 Quam St.,Holiday,COU,2008/09,25/01/2007,SMDC,2
16800617 9322,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing",3711 Dictum Ave,Holiday,COU,1997/98,20/12/1996,MBC,1
16411104 0921,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",3462 Cras Av.,Holiday,COU,2001/02,03/02/2000,DDDC,2
16460803 2563,Foolow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 611, 209 Nec, Rd.",Holiday,COU,1999/00,27/04/1998,DDDC,2
16780423 3448,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",893 Est Rd.,Holiday,COU,1996/97,21/06/1989,SMDC,2
16401229 2787,Ashford In The Water,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",7127 Adipiscing Rd.,Holiday,COU,2002/03,30/10/1997,DDDC,2
16791008 2648,Holme Valley,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",Ap #408-4555 Rhoncus Rd.,Holiday,COU,2004/05,15/04/2002,KMBC,3
16310816 1765,Chinley,"Lorem ipsum dolor sit amet, consectetuer",774-6716 Cras Ave,Holiday,COU,1995/96,15/03/1988,HPBC,1
16180117 2618,Chinley,"Lorem ipsum dolor sit amet, consectetuer","P.O. Box 321, 7025 Aliquam Rd.",Holiday,COU,2000/01,15/03/1988,HPBC,1
16200711 2358,Heathylee,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 494, 1030 Quis St.",Holiday,COU,2000/01,11/03/1993,SMDC,3
16650306 5184,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 330, 341 Consectetuer Rd.",Holiday,COU,1992/93,29/03/1988,DDDC,3
16460622 8189,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",5175 Nonummy Road,Holiday,COU,1999/00,03/06/1998,DDDC,3
16720501 6269,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer",6153 Diam. Av.,Holiday,COU,1993/94,21/10/1992,DDDC,1
16220124 7513,Hartington Town Quarter,"Lorem ipsum dolor sit amet, consectetuer",Ap #779-278 Euismod Rd.,Holiday,COU,1998/99,21/10/1992,DDDC,2
16500503 7667,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing",Ap #790-9965 Dui. Av.,Holiday,COU,2000/01,22/02/1999,SMDC,3
16180517 4156,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8455 Integer Avenue,Holiday,COU,1991/92,20/11/1985,DDDC,3
16760304 3873,Ilam,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 545, 5130 Risus, Rd.",Holiday,COU,2000/01,04/12/1998,SMDC,3
16710620 3065,Tideswell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",192-9184 Purus. Road,Holiday,COU,2008/09,16/08/2005,DDDC,3
16821018 8119,Sheen,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",313 Dignissim. Street,Holiday,COU,1995/96,08/01/1990,SMDC,3
16790703 2408,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",347-3552 Non Street,Holiday,COU,1999/00,23/02/1998,DDDC,3
16250114 7488,Brough & Shatton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",2381 Volutpat. St.,Holiday,COU,1993/94,21/05/1992,HPBC,3
16071012 4843,Hartington Middle Quarter,"Lorem ipsum dolor sit amet, consectetuer","Ap #510-5959 Sapien, Street",Holiday,COU,1993/94,07/12/1988,DDDC,3
16900920 2244,Wardlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",638-8221 Eu Road,Holiday,COU,2008/09,30/04/1999,DDDC,3
16120130 4563,Bonsall,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","7469 Dui, Street",Holiday,COU,1998/99,02/10/1995,DDDC,4
16190327 9824,Bakewell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5976 Molestie Av.,Holiday,COU,1999/00,15/01/1998,DDDC,4
16111123 9404,Waterhouses,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",Ap #515-823 Est. Av.,Holiday,COU,2007/08,05/02/2003,SMDC,4
16441212 1289,Wetton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",828-9268 Sem Avenue,Holiday,COU,1999/00,14/03/1997,HPBC,4
16291006 3706,Ballidon,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 796, 9396 Ac, St.",Holiday,COU,2005/06,31/08/2000,DDDC,5
16530103 5704,Wildboarclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",645-6358 Hendrerit Ave,Holiday,COU,1993/94,16/06/1987,MBC,2
16910803 7210,Wildboarclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur",4179 Ipsum Av.,Holiday,COU,2002/03,16/06/1987,MBC,3
16250524 6229,Wildboarclough,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",670-5640 Dignissim Av.,Holiday,COU,2003/04,16/06/1987,MBC,2
16580210 8844,Bradfield,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","P.O. Box 232, 6590 Auctor, Rd.",Holiday,COU,2010/11,25/11/2008,SCC,1
16720130 0980,Warslow & Elkstone,"Lorem ipsum dolor sit amet, consectetuer adipiscing",194-6561 Pulvinar Street,Holiday,COU,1999/00,14/06/1993,SMDC,1
16640330 9559,Hartington Nether Quarter,"Lorem ipsum dolor sit amet, consectetuer",606-3147 Phasellus Avenue,Holiday,COU,1992/93,28/06/1991,DDDC,1
16930715 8775,Bonsall,"Lorem ipsum dolor sit amet, consectetuer adipiscing","P.O. Box 698, 1316 Eu Avenue",Holiday,COU,1999/00,25/05/1999,DDDC,1
16311207 6645,Offerton,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #929-4601 Nisi Street,Holiday,COU,1992/93,03/09/1990,DDDC,1
16271014 4326,Sheldon,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1474 Nec Rd.,Holiday,COU,2001/02,09/10/2000,DDDC,1
16801106 4246,Grindlow,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",Ap #155-147 Purus. Street,Holiday,COU,1998/99,11/11/1993,DDDC,1
16251227 2184,Blackwell,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur","Ap #949-9453 Non, Street",Holiday,COU,2002/03,01/09/1999,DDDC,1
16180116 7121,Wincle,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",8793 Torquent Av.,Holiday,COU,2005/06,23/11/2004,MBC,1
16771119 6951,Chapel En Le Frith,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Curabitur sed",3033 Dignissim. Street,Holiday,COU,1995/96,11/10/1993,HPBC,1
16461029 4599,Hope,"Lorem ipsum dolor sit amet, consectetuer",280-8694 Natoque St.,Holiday,COU,1992/93,03/03/1992,HPBC,2
16170307 8228,Leekfrith,"Lorem ipsum dolor sit amet, consectetuer adipiscing",988 Nullam Ave,Holiday,COU,1994/95,01/11/1993,SMDC,2
16361022 1099,Wetton,"Lorem ipsum dolor sit amet, consectetuer",6997 Erat St.,Holiday,COU,1993/94,06/11/1991,SMDC,2
